bce_number,name,status
0200065765,Intergemeentelijke Vereniging Veneco,AC
0200068636,Farys,AC
0200171970,Sanatorium-Hospitaal van Lemberge,AC
0200245711,Intercommunaal Sanatorium Denderoord,AC
0200305493,Intergemeentelijk Samenwerkingsverband voor ruimtelijke ordening en socio-economische expansie,AC
0200362210,in BW Association Intercommunale,AC
0200362408,Intercommunale Sociale du Brabant wallon,AC
0200420410,Congregatie der Gasthuiszusters-Augustinessen van Diest,AC
0200420608,Congregatie der Gasthuiszusters van Poperinge,AC
0200448421,Liefdadige Congregatie der Gasthuiszusters,AC
0200450005,"Liefdadige Congregatie der Zwarte Zusters van Brugge, Oostende en Menen (VL - Brugge)",AC
0200762878,VLOTTER,AC
0200881951,Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economisch- Sociale Expansie van het Arrondissement Halle-Vilvoorde,AC
0200882050,Intercommunale maatschappij voor de Sanering van het Dal der Molenbeek en Pontbeek,AC
0201105843,"""I.D.E.A. S.C""",AC
0201107526,ASSOCIATION INTERCOMMUNALE DU BOIS D'HAVRE,AC
0201107922,INTERCOMMUNALE DU RESEAU SOCIAL D'INSERTION ET D'ACCUEIL,AC
0201183146,Société Intercommunale de l'Electricité de la Dendre et du Canton de Lens,AC
0201310731,NOORDLIMBURGSE MAATSCHAPPIJ VOOR DE OPRICHTING VAN EEN INDUSTRIEPARK IN NOORD-LIMBURG,AC
0201310929,IGL,AC
0201311028,Intercommunale Maatschappij voor Ruimtelijke Ontwikkeling in Limburg,AC
0201311226,FLUVIUS,AC
0201339039,Provinciale Limburgse Intercommunale Gasmaatschappij,AC
0201400011,SOCIETE INTERCOMMUNALE BEP - EXPANSION ECONOMIQUE,AC
0201400110,Association Intercommunale des Eaux du Condroz,AC
0201400209,Société intercommunale BEP-Environnement,AC
0201456924,Intercommunale de distribution d'Eau de Tihange et environs,AC
0201543234,TIBI,AC
0201543828,Société Intercommunale Mixte d'Electricité de l'Est et du Centre du Hainaut,AC
0201552538,Oeuvres Sociales Intercommunale,AC
0201568473,Union intercommunale pour l'Exécution des Travaux de Voutement et d'Amélioration des Ruisseaux de Lodelinsart,AC
0201645281,CENEO,AC
0201712587,Association Intercommunale d'Electricité du Sud du Hainaut,AC
0201717438,Intercommunale pour le Développement Economique et l'Aménagement du Territoire du Sud-Hainaut,AC
0201741786,Intercommunale pour la Gestion et la Réalisation d'Etudes Techniques et Economiques,AC
0201760592,Compagnie Intercommunale Distribution d'Eau du Centre,AC
0201808401,Intercommunale de Santé HARMEGNIES - ROLLAND,AC
0201978150,Société Intercommunale des Voies d'Accès à l'Aérodrome de Bruxelles - Intercommunale Maatschappij van de Toegangswegen tot de Luchthaven van Brussel,AC
0202082078,Intercommunale van Brabant voor Electriciteit en Gas,AC
0202239951,PROXIMUS,AC
0202268754,CREDIT SOCIAL LOGEMENT,AC
0202320224,Intercommunale laitière du Canton de Saint-Vith,AC
0202329033,Association Intercommunale des Eaux de La Calamine,AC
0202395052,Compagnie Intercommunale Liégeoise des Eaux,AC
0202414452,Port Autonome de Liège,AC
0202470177,INAGO,AC
0202492151,Association Intercommunale d'Electricité de l'Ouest du Hainaut,AC
0202500267,Intercommunale de Développement Economique et d'Aménagement du Territoire du Hainaut Occidental,AC
0202500465,Association Intercommunale pour la Distribution de l'Eau Potable pour Tournai et Extensions,AC
0202508878,Intercommunale d'Oeuvres médico-sociales des Arrondissements de Tournai - Ath - Mouscron et Cantons limitrophes,AC
0202554113,ASSOCIATION INTERCOMMUNALE DE SANTE DE LA BASSE-SAMBRE,AC
0202554608,Association Intercommunale des Eaux de la Molignée,AC
0202555004,Association Intercommunale d'Etudes et d'Exploitation d'Electricité et de Gaz,AC
0202718122,Intercommunale Mij Voor Het Verwijd. en Verniet. Van Huisvuil,AC
0202962701,VIVAQUA,AC
0203071973,BRULABO,AC
